key,origin,destination,type
visa-requirement-1,Afghanistan,Afghanistan,NOT_APPLICABLE
visa-requirement-2,Afghanistan,Albania,VISA_REQUIRED
visa-requirement-3,Afghanistan,Algeria,VISA_REQUIRED
visa-requirement-4,Afghanistan,American Samoa,VISA_REQUIRED
visa-requirement-5,Afghanistan,Andorra,VISA_REQUIRED
visa-requirement-6,Afghanistan,Angola,VISA_REQUIRED
visa-requirement-7,Afghanistan,Anguilla,VISA_REQUIRED
visa-requirement-8,Afghanistan,Antigua and Barbuda,VISA_REQUIRED
visa-requirement-9,Afghanistan,Argentina,VISA_REQUIRED
visa-requirement-10,Afghanistan,Armenia,VISA_REQUIRED
visa-requirement-11,Afghanistan,Aruba,VISA_REQUIRED
visa-requirement-12,Afghanistan,Australia,VISA_REQUIRED
visa-requirement-13,Afghanistan,Austria,VISA_REQUIRED
visa-requirement-14,Afghanistan,Azerbaijan,VISA_REQUIRED
visa-requirement-15,Afghanistan,Bahamas,VISA_REQUIRED
visa-requirement-16,Afghanistan,Bahrain,VISA_REQUIRED
visa-requirement-17,Afghanistan,Bangladesh,VISA_FREE
visa-requirement-18,Afghanistan,Barbados,VISA_REQUIRED
visa-requirement-19,Afghanistan,Belarus,VISA_REQUIRED
visa-requirement-20,Afghanistan,Belgium,VISA_REQUIRED
visa-requirement-21,Afghanistan,Belize,VISA_REQUIRED
visa-requirement-22,Afghanistan,Benin,VISA_REQUIRED
visa-requirement-23,Afghanistan,Bermuda,VISA_REQUIRED
visa-requirement-24,Afghanistan,Bhutan,VISA_REQUIRED
visa-requirement-25,Afghanistan,Bolivia,VISA_REQUIRED
visa-requirement-26,Afghanistan,Bonaire; St. Eustatius and Saba,VISA_REQUIRED
visa-requirement-27,Afghanistan,Bosnia and Herzegovina,VISA_REQUIRED
visa-requirement-28,Afghanistan,Botswana,VISA_REQUIRED
visa-requirement-29,Afghanistan,Brazil,VISA_REQUIRED
visa-requirement-30,Afghanistan,British Virgin Islands,VISA_REQUIRED
visa-requirement-31,Afghanistan,Brunei,VISA_REQUIRED
visa-requirement-32,Afghanistan,Bulgaria,VISA_REQUIRED
visa-requirement-33,Afghanistan,Burkina Faso,VISA_REQUIRED
visa-requirement-34,Afghanistan,Burundi,VISA_FREE
visa-requirement-35,Afghanistan,Cambodia,VISA_FREE
visa-requirement-36,Afghanistan,Cameroon,VISA_REQUIRED
visa-requirement-37,Afghanistan,Canada,VISA_REQUIRED
visa-requirement-38,Afghanistan,Cape Verde Islands,VISA_FREE
visa-requirement-39,Afghanistan,Cayman Islands,VISA_REQUIRED
visa-requirement-40,Afghanistan,Central African Republic,VISA_REQUIRED
visa-requirement-41,Afghanistan,Chad,VISA_REQUIRED
visa-requirement-42,Afghanistan,Chile,VISA_REQUIRED
visa-requirement-43,Afghanistan,China,VISA_REQUIRED
visa-requirement-44,Afghanistan,Colombia,VISA_REQUIRED
visa-requirement-45,Afghanistan,Comoro Islands,VISA_FREE
visa-requirement-46,Afghanistan,Congo (Dem. Rep.),VISA_REQUIRED
visa-requirement-47,Afghanistan,Congo (Rep.),VISA_REQUIRED
visa-requirement-48,Afghanistan,Cook Islands,VISA_FREE
visa-requirement-49,Afghanistan,Costa Rica,VISA_REQUIRED
visa-requirement-50,Afghanistan,Cote d'Ivoire,VISA_REQUIRED
visa-requirement-51,Afghanistan,Croatia,VISA_REQUIRED
visa-requirement-52,Afghanistan,Cuba,VISA_REQUIRED
visa-requirement-53,Afghanistan,Curacao,VISA_REQUIRED
visa-requirement-54,Afghanistan,Cyprus,VISA_REQUIRED
visa-requirement-55,Afghanistan,Czech Republic,VISA_REQUIRED
visa-requirement-56,Afghanistan,Denmark,VISA_REQUIRED
visa-requirement-57,Afghanistan,Djibouti,VISA_REQUIRED
visa-requirement-58,Afghanistan,Dominica,VISA_FREE
visa-requirement-59,Afghanistan,Dominican Republic,VISA_REQUIRED
visa-requirement-60,Afghanistan,Ecuador,VISA_REQUIRED
visa-requirement-61,Afghanistan,Egypt,VISA_REQUIRED
visa-requirement-62,Afghanistan,El Salvador,VISA_REQUIRED
visa-requirement-63,Afghanistan,Equatorial Guinea,VISA_REQUIRED
visa-requirement-64,Afghanistan,Eritrea,VISA_REQUIRED
visa-requirement-65,Afghanistan,Estonia,VISA_REQUIRED
visa-requirement-66,Afghanistan,Ethiopia,VISA_REQUIRED
visa-requirement-67,Afghanistan,Falkland Islands,VISA_REQUIRED
visa-requirement-68,Afghanistan,Faroe Islands,VISA_REQUIRED
visa-requirement-69,Afghanistan,Fiji,VISA_REQUIRED
visa-requirement-70,Afghanistan,Finland,VISA_REQUIRED
visa-requirement-71,Afghanistan,France,VISA_REQUIRED
visa-requirement-72,Afghanistan,French Guiana,VISA_REQUIRED
visa-requirement-73,Afghanistan,French Polynesia,VISA_REQUIRED
visa-requirement-74,Afghanistan,French West Indies,VISA_REQUIRED
visa-requirement-75,Afghanistan,Gabon,VISA_REQUIRED
visa-requirement-76,Afghanistan,Georgia,VISA_REQUIRED
visa-requirement-77,Afghanistan,Germany,VISA_REQUIRED
visa-requirement-78,Afghanistan,Ghana,VISA_REQUIRED
visa-requirement-79,Afghanistan,Gibraltar,VISA_REQUIRED
visa-requirement-80,Afghanistan,Greece,VISA_REQUIRED
visa-requirement-81,Afghanistan,Greenland,VISA_REQUIRED
visa-requirement-82,Afghanistan,Grenada,VISA_REQUIRED
visa-requirement-83,Afghanistan,Guam,VISA_REQUIRED
visa-requirement-84,Afghanistan,Guatemala,VISA_REQUIRED
visa-requirement-85,Afghanistan,Guinea,VISA_REQUIRED
visa-requirement-86,Afghanistan,Guinea-Bissau,VISA_FREE
visa-requirement-87,Afghanistan,Guyana,VISA_REQUIRED
visa-requirement-88,Afghanistan,Haiti,VISA_FREE
visa-requirement-89,Afghanistan,Honduras,VISA_REQUIRED
visa-requirement-90,Afghanistan,Hong Kong (SAR China),VISA_REQUIRED
visa-requirement-91,Afghanistan,Hungary,VISA_REQUIRED
visa-requirement-92,Afghanistan,Iceland,VISA_REQUIRED
visa-requirement-93,Afghanistan,India,VISA_REQUIRED
visa-requirement-94,Afghanistan,Indonesia,VISA_REQUIRED
visa-requirement-95,Afghanistan,Iran,VISA_REQUIRED
visa-requirement-96,Afghanistan,Iraq,VISA_REQUIRED
visa-requirement-97,Afghanistan,Ireland,VISA_REQUIRED
visa-requirement-98,Afghanistan,Israel,VISA_REQUIRED
visa-requirement-99,Afghanistan,Italy,VISA_REQUIRED
visa-requirement-100,Afghanistan,Jamaica,VISA_REQUIRED
visa-requirement-101,Afghanistan,Japan,VISA_REQUIRED
visa-requirement-102,Afghanistan,Jordan,VISA_REQUIRED
visa-requirement-103,Afghanistan,Kazakhstan,VISA_REQUIRED
visa-requirement-104,Afghanistan,Kenya,VISA_REQUIRED
visa-requirement-105,Afghanistan,Kiribati,VISA_REQUIRED
visa-requirement-106,Afghanistan,Kosovo,VISA_REQUIRED
visa-requirement-107,Afghanistan,Kuwait,VISA_REQUIRED
visa-requirement-108,Afghanistan,Kyrgyzstan,VISA_REQUIRED
visa-requirement-109,Afghanistan,Laos,VISA_REQUIRED
visa-requirement-110,Afghanistan,Latvia,VISA_REQUIRED
visa-requirement-111,Afghanistan,Lebanon,VISA_REQUIRED
visa-requirement-112,Afghanistan,Lesotho,VISA_REQUIRED
visa-requirement-113,Afghanistan,Liberia,VISA_REQUIRED
visa-requirement-114,Afghanistan,Libya,VISA_REQUIRED
visa-requirement-115,Afghanistan,Liechtenstein,VISA_REQUIRED
visa-requirement-116,Afghanistan,Lithuania,VISA_REQUIRED
visa-requirement-117,Afghanistan,Luxembourg,VISA_REQUIRED
visa-requirement-118,Afghanistan,Macao (SAR China),VISA_FREE
visa-requirement-119,Afghanistan,Madagascar,VISA_FREE
visa-requirement-120,Afghanistan,Malawi,VISA_REQUIRED
visa-requirement-121,Afghanistan,Malaysia,VISA_REQUIRED
visa-requirement-122,Afghanistan,Maldives,VISA_FREE
visa-requirement-123,Afghanistan,Mali,VISA_REQUIRED
visa-requirement-124,Afghanistan,Malta,VISA_REQUIRED
visa-requirement-125,Afghanistan,Marshall Islands,VISA_REQUIRED
visa-requirement-126,Afghanistan,Mauritania,VISA_FREE
visa-requirement-127,Afghanistan,Mauritius,VISA_REQUIRED
visa-requirement-128,Afghanistan,Mayotte,VISA_REQUIRED
visa-requirement-129,Afghanistan,Mexico,VISA_REQUIRED
visa-requirement-130,Afghanistan,Micronesia,VISA_FREE
visa-requirement-131,Afghanistan,Moldova,VISA_REQUIRED
visa-requirement-132,Afghanistan,Monaco,VISA_REQUIRED
visa-requirement-133,Afghanistan,Mongolia,VISA_REQUIRED
visa-requirement-134,Afghanistan,Montenegro,VISA_REQUIRED
visa-requirement-135,Afghanistan,Montserrat,VISA_REQUIRED
visa-requirement-136,Afghanistan,Morocco,VISA_REQUIRED
visa-requirement-137,Afghanistan,Mozambique,VISA_FREE
visa-requirement-138,Afghanistan,Myanmar,VISA_REQUIRED
visa-requirement-139,Afghanistan,Namibia,VISA_REQUIRED
visa-requirement-140,Afghanistan,Nauru,VISA_REQUIRED
visa-requirement-141,Afghanistan,Nepal,VISA_REQUIRED
visa-requirement-142,Afghanistan,Netherlands,VISA_REQUIRED
visa-requirement-143,Afghanistan,New Caledonia,VISA_REQUIRED
visa-requirement-144,Afghanistan,New Zealand,VISA_REQUIRED
visa-requirement-145,Afghanistan,Nicaragua,VISA_REQUIRED
visa-requirement-146,Afghanistan,Niger,VISA_REQUIRED
visa-requirement-147,Afghanistan,Nigeria,VISA_REQUIRED
visa-requirement-148,Afghanistan,Niue,VISA_FREE
visa-requirement-149,Afghanistan,North Korea,VISA_REQUIRED
visa-requirement-150,Afghanistan,North Macedonia,VISA_REQUIRED
visa-requirement-151,Afghanistan,Northern Mariana Islands,VISA_REQUIRED
visa-requirement-152,Afghanistan,Norway,VISA_REQUIRED
visa-requirement-153,Afghanistan,Oman,VISA_REQUIRED
visa-requirement-154,Afghanistan,Pakistan,VISA_REQUIRED
visa-requirement-155,Afghanistan,Palau Islands,VISA_FREE
visa-requirement-156,Afghanistan,Palestinian Territory,VISA_REQUIRED
visa-requirement-157,Afghanistan,Panama,VISA_REQUIRED
visa-requirement-158,Afghanistan,Papua New Guinea,VISA_REQUIRED
visa-requirement-159,Afghanistan,Paraguay,VISA_REQUIRED
visa-requirement-160,Afghanistan,Peru,VISA_REQUIRED
visa-requirement-161,Afghanistan,Philippines,VISA_REQUIRED
visa-requirement-162,Afghanistan,Poland,VISA_REQUIRED
visa-requirement-163,Afghanistan,Portugal,VISA_REQUIRED
visa-requirement-164,Afghanistan,Puerto Rico,VISA_REQUIRED
visa-requirement-165,Afghanistan,Qatar,VISA_REQUIRED
visa-requirement-166,Afghanistan,Reunion,VISA_REQUIRED
visa-requirement-167,Afghanistan,Romania,VISA_REQUIRED
visa-requirement-168,Afghanistan,Russian Federation,VISA_REQUIRED
visa-requirement-169,Afghanistan,Rwanda,VISA_FREE
visa-requirement-170,Afghanistan,Samoa,VISA_FREE
visa-requirement-171,Afghanistan,San Marino,VISA_REQUIRED
visa-requirement-172,Afghanistan,Sao Tome and Principe,VISA_REQUIRED
visa-requirement-173,Afghanistan,Saudi Arabia,VISA_REQUIRED
visa-requirement-174,Afghanistan,Senegal,VISA_FREE
visa-requirement-175,Afghanistan,Serbia,VISA_REQUIRED
visa-requirement-176,Afghanistan,Seychelles,VISA_FREE
visa-requirement-177,Afghanistan,Sierra Leone,VISA_REQUIRED
visa-requirement-178,Afghanistan,Singapore,VISA_REQUIRED
visa-requirement-179,Afghanistan,Slovakia,VISA_REQUIRED
visa-requirement-180,Afghanistan,Slovenia,VISA_REQUIRED
visa-requirement-181,Afghanistan,Solomon Islands,VISA_REQUIRED
visa-requirement-182,Afghanistan,Somalia,VISA_FREE
visa-requirement-183,Afghanistan,South Africa,VISA_REQUIRED
visa-requirement-184,Afghanistan,South Korea,VISA_REQUIRED
visa-requirement-185,Afghanistan,South Sudan,VISA_REQUIRED
visa-requirement-186,Afghanistan,Spain,VISA_REQUIRED
visa-requirement-187,Afghanistan,Sri Lanka,VISA_REQUIRED
visa-requirement-188,Afghanistan,St. Helena,VISA_REQUIRED
visa-requirement-189,Afghanistan,St. Kitts and Nevis,VISA_REQUIRED
visa-requirement-190,Afghanistan,St. Lucia,VISA_REQUIRED
visa-requirement-191,Afghanistan,St. Maarten,VISA_REQUIRED
visa-requirement-192,Afghanistan,St. Vincent and the Grenadines,VISA_FREE
visa-requirement-193,Afghanistan,Sudan,VISA_REQUIRED
visa-requirement-194,Afghanistan,Suriname,VISA_REQUIRED
visa-requirement-195,Afghanistan,Sweden,VISA_REQUIRED
visa-requirement-196,Afghanistan,Switzerland,VISA_REQUIRED
visa-requirement-197,Afghanistan,Syria,VISA_REQUIRED
visa-requirement-198,Afghanistan,Taiwan (Chinese Taipei),VISA_REQUIRED
visa-requirement-199,Afghanistan,Tajikistan,VISA_REQUIRED
visa-requirement-200,Afghanistan,Tanzania,VISA_REQUIRED
visa-requirement-201,Afghanistan,Thailand,VISA_REQUIRED
visa-requirement-202,Afghanistan,The Gambia,VISA_REQUIRED
visa-requirement-203,Afghanistan,Timor-Leste,VISA_FREE
visa-requirement-204,Afghanistan,Togo,VISA_FREE
visa-requirement-205,Afghanistan,Tonga,VISA_REQUIRED
visa-requirement-206,Afghanistan,Trinidad and Tobago,VISA_REQUIRED
visa-requirement-207,Afghanistan,Tunisia,VISA_REQUIRED
visa-requirement-208,Afghanistan,Turkmenistan,VISA_REQUIRED
visa-requirement-209,Afghanistan,Turks and Caicos Islands,VISA_REQUIRED
visa-requirement-210,Afghanistan,Tuvalu,VISA_FREE
visa-requirement-211,Afghanistan,Türkiye,VISA_REQUIRED
visa-requirement-212,Afghanistan,US Virgin Islands,VISA_REQUIRED
visa-requirement-213,Afghanistan,Uganda,VISA_FREE
visa-requirement-214,Afghanistan,Ukraine,VISA_REQUIRED
visa-requirement-215,Afghanistan,United Arab Emirates,VISA_REQUIRED
visa-requirement-216,Afghanistan,United Kingdom,VISA_REQUIRED
visa-requirement-217,Afghanistan,United States,VISA_REQUIRED
visa-requirement-218,Afghanistan,Uruguay,VISA_REQUIRED
visa-requirement-219,Afghanistan,Uzbekistan,VISA_REQUIRED
visa-requirement-220,Afghanistan,Vanuatu,VISA_REQUIRED
visa-requirement-221,Afghanistan,Vatican City,VISA_REQUIRED
visa-requirement-222,Afghanistan,Venezuela,VISA_REQUIRED
