key,city,contact_phone_number,country,email,iata_code,name,operational_scope,website
airport-01, "Barcelona","+34911234567","Spain","acme@lorem-ipsum.org","ABF","Airport of Barcelona","INTERNATIONAL","http://lorem.com/ipsum"
airport-02, "M", "987543", "M", "a@b.e", "FGR", "M", "DOMESTIC", "ftp://a.b"
airport-03, "Lorem ipsum dolor sit amet, consectetur adipiscin","01234567891234", "Lorem ipsum dolor sit amet, consectetur adipiscin","lorem-ipsum@dolor.sit.amet.consectetur.adipiscing.elit.sed.do.eiusmod.tempor.incididunt.ut.labore.et.dolore.magna.aliqua.Ut.enim.ad.minim.veniam.quis.nostrud.exercitation.ullamco.laboris.nisi.ut.aliquip.ex.ea.commodo.consequat.duis.aute.irure.doloris.edu","CFD", "Lorem ipsum dolor sit amet, consectetur adipiscin", "INTERNATIONAL","https://www.lorem-ipsum.org"
airport-04, "Lorem ipsum dolor sit amet, consectetur adipiscing","012345678912345", "Lorem ipsum dolor sit amet, consectetur adipiscing","a@b.es","AWE", "Lorem ipsum dolor sit amet, consectetur adipiscing", "REGIONAL","http://www.lorem-ipsum.org/dolor/sit.html"
airport-05, "Lorem ","0123452345", "Lorem adipiscing","a@b.esx","MID", "Lorem adipiscing", "INTERNATIONAL","http://example.org/a/b?"
airport-06, "<marquee>Hacked</marquee>","01277345", "<marquee>Hacked</marquee>","airport@gmail.com","ADC", "<marquee>Hacked</marquee>", "REGIONAL","http://example.org?a=1&b=2"
airport-07, "洛伦·伊普森","99999999", "洛伦·伊普森","airport2@gmail.com","FHD", "洛伦·伊普森", "REGIONAL","http://example.org?"
airport-08, "โลเร็ม อิปซัม","48104121", "โลเร็ม อิปซัม","airport3@gmail.com","ERI", "โลเร็ม อิปซัม", "REGIONAL","http://example.org?a"
airport-09, "لوريم إيبسوم","1248410112", "لوريم إيبسوم","airport4@gmail.com","DKU", "لوريم إيبسوم", "REGIONAL","http://example.org?a&b"
airport-10, "<script>alert(‘Hacked!’);</script>","412481203", "<script>alert(‘Hacked!’);</script>","airport5@gmail.com","SOS", "<script>alert(‘Hacked!’);</script>", "REGIONAL","http://example.org/"
airport-11, "' or 'A' = 'A","412841123", "' or 'A' = 'A","airport6@gmail.com","SAE", "' or 'A' = 'A", "REGIONAL","http://example.org/a"
