key,origin,destination,type
visa-requirement-20103,Kosovo,Mauritania,VISA_FREE
visa-requirement-3371,Barbados,Sudan,VISA_REQUIRED
visa-requirement-39043,Taiwan (Chinese Taipei),Zambia,VISA_REQUIRED
visa-requirement-36205,South Korea,Lebanon,VISA_FREE
visa-requirement-10200,Cyprus,Türkiye,VISA_REQUIRED
visa-requirement-41486,Tuvalu,San Marino,VISA_FREE
visa-requirement-4647,Bolivia,Kuwait,VISA_REQUIRED
visa-requirement-20317,Kuwait,Liberia,VISA_REQUIRED
visa-requirement-13723,Gabon,Jordan,VISA_REQUIRED
visa-requirement-20749,Laos,Hungary,VISA_REQUIRED
visa-requirement-8313,Colombia,Nauru,VISA_REQUIRED
visa-requirement-23355,Malawi,Tanzania,VISA_FREE
visa-requirement-1050,Angola,Netherlands,VISA_REQUIRED
visa-requirement-17366,Indonesia,Liberia,VISA_REQUIRED
visa-requirement-5713,Bulgaria,Cape Verde Islands,VISA_FREE
visa-requirement-11442,Ecuador,Hungary,VISA_REQUIRED
visa-requirement-36476,South Sudan,Palau Islands,VISA_FREE
visa-requirement-22109,Liechtenstein,Honduras,VISA_FREE
visa-requirement-17508,Iran,Botswana,VISA_REQUIRED
visa-requirement-25563,Moldova,Myanmar,VISA_REQUIRED
visa-requirement-44393,Yemen,Mauritius,VISA_REQUIRED
visa-requirement-38165,Sweden,Botswana,VISA_FREE
visa-requirement-18013,Ireland,Gibraltar,VISA_FREE
visa-requirement-17526,Iran,Congo (Dem. Rep.),VISA_REQUIRED
visa-requirement-4402,Bhutan,Honduras,VISA_REQUIRED
visa-requirement-5176,Botswana,Somalia,VISA_FREE
visa-requirement-4005,Belize,Niger,VISA_REQUIRED
visa-requirement-42736,United States,Dominican Republic,VISA_FREE
visa-requirement-12796,Ethiopia,Guam,VISA_REQUIRED
visa-requirement-33610,Saudi Arabia,Austria,VISA_REQUIRED
visa-requirement-21659,Liberia,India,VISA_REQUIRED
visa-requirement-30431,Panama,Australia,VISA_REQUIRED
visa-requirement-496,Algeria,Chile,VISA_REQUIRED
visa-requirement-6534,Cambodia,Singapore,VISA_FREE
visa-requirement-2938,Bahrain,Ukraine,VISA_FREE
visa-requirement-22516,Luxembourg,Chile,VISA_FREE
visa-requirement-20163,Kosovo,Spain,VISA_REQUIRED
visa-requirement-18535,Italy,Nigeria,VISA_REQUIRED
visa-requirement-12760,Ethiopia,Congo (Rep.),VISA_REQUIRED
visa-requirement-42305,United Arab Emirates,Grenada,VISA_FREE
visa-requirement-11901,El Salvador,Iraq,VISA_REQUIRED
visa-requirement-40741,Trinidad and Tobago,Kuwait,VISA_REQUIRED
visa-requirement-39407,Tanzania,Montserrat,VISA_FREE
visa-requirement-14951,Grenada,Sweden,VISA_FREE
visa-requirement-3773,Belgium,Nepal,VISA_FREE
visa-requirement-6744,Cameroon,Philippines,VISA_FREE
visa-requirement-12201,Equatorial Guinea,Rwanda,VISA_FREE
visa-requirement-1151,Antigua and Barbuda,Bahrain,VISA_REQUIRED
visa-requirement-3261,Barbados,Guam,VISA_REQUIRED
visa-requirement-39261,Tajikistan,United Kingdom,VISA_REQUIRED
visa-requirement-27212,Namibia,Taiwan (Chinese Taipei),VISA_REQUIRED
visa-requirement-38596,Syria,Andorra,VISA_REQUIRED
